,ratio of uni-gram,ratio of bi-gram,ratio of tri-gram and skip-gram,labels,color,legend
0,0.6215277777777778,0.3576388888888889,0.020833333333333332,1,#80B6B1,Amateur
1,0.6328502415458938,0.178743961352657,0.18840579710144928,0,#B4585F,Expert
2,0.49074074074074076,0.39814814814814814,0.1111111111111111,0,#B4585F,Expert
3,0.5222929936305732,0.27388535031847133,0.20382165605095542,0,#B4585F,Expert
4,0.5403225806451613,0.24596774193548387,0.21370967741935484,0,#B4585F,Expert
5,0.47410358565737054,0.250996015936255,0.2749003984063745,0,#B4585F,Expert
6,0.48638132295719844,0.36964980544747084,0.14396887159533073,0,#B4585F,Expert
7,0.520618556701031,0.29381443298969073,0.18556701030927836,0,#B4585F,Expert
8,0.5619834710743802,0.19834710743801653,0.2396694214876033,0,#B4585F,Expert
9,0.5091743119266054,0.463302752293578,0.027522935779816515,1,#80B6B1,Amateur
10,0.4634146341463415,0.3024390243902439,0.23414634146341465,0,#B4585F,Expert
11,0.4585635359116022,0.27624309392265195,0.26519337016574585,0,#B4585F,Expert
12,0.4941860465116279,0.28488372093023256,0.22093023255813954,0,#B4585F,Expert
13,0.6008230452674898,0.22633744855967078,0.1728395061728395,0,#B4585F,Expert
14,0.5671641791044776,0.35323383084577115,0.07960199004975124,1,#80B6B1,Amateur
15,0.5217391304347826,0.29130434782608694,0.18695652173913044,0,#B4585F,Expert
16,0.5141700404858299,0.4574898785425101,0.02834008097165992,1,#80B6B1,Amateur
17,0.543859649122807,0.21929824561403508,0.23684210526315788,0,#B4585F,Expert
18,0.515748031496063,0.2795275590551181,0.2047244094488189,0,#B4585F,Expert
19,0.5352941176470588,0.2411764705882353,0.2235294117647059,0,#B4585F,Expert
20,0.5142857142857142,0.3,0.18571428571428572,0,#B4585F,Expert
21,0.5337423312883436,0.3006134969325153,0.1656441717791411,0,#B4585F,Expert
22,0.5472636815920398,0.21890547263681592,0.23383084577114427,0,#B4585F,Expert
23,0.5508982035928144,0.2155688622754491,0.23353293413173654,0,#B4585F,Expert
24,0.5126353790613718,0.4620938628158845,0.02527075812274368,1,#80B6B1,Amateur
25,0.6390243902439025,0.2097560975609756,0.15121951219512195,0,#B4585F,Expert
26,0.5527426160337553,0.4177215189873418,0.029535864978902954,1,#80B6B1,Amateur
27,0.5787545787545788,0.21611721611721613,0.20512820512820512,0,#B4585F,Expert
28,0.4474885844748858,0.3105022831050228,0.2420091324200913,0,#B4585F,Expert
29,0.6140350877192983,0.18859649122807018,0.19736842105263158,0,#B4585F,Expert
30,0.4723618090452261,0.3065326633165829,0.22110552763819097,0,#B4585F,Expert
31,0.58984375,0.2421875,0.16796875,0,#B4585F,Expert
32,0.5728155339805825,0.3932038834951456,0.03398058252427184,1,#80B6B1,Amateur
33,0.6462264150943396,0.2358490566037736,0.1179245283018868,0,#B4585F,Expert
34,0.5073173206178507,0.44111903010627235,0.051563649275876935,2,#F6D087,Monkey O
35,0.5056864337936637,0.444286487950176,0.050027078256160304,3,#8080b6,Monkey P
