,pos,left,right,up,down
0,"(1, 18)","(0, 18)","(2, 18)",,
1,"(2, 5)",,"(3, 5)",,"(2, 6)"
2,"(2, 6)",,,"(2, 5)","(2, 7)"
3,"(2, 7)",,,"(2, 6)","(2, 8)"
4,"(2, 8)",,,"(2, 7)","(2, 9)"
5,"(2, 9)",,"(3, 9)","(2, 8)","(2, 10)"
6,"(2, 10)",,,"(2, 9)","(2, 11)"
7,"(2, 11)",,,"(2, 10)","(2, 12)"
8,"(2, 12)",,"(3, 12)","(2, 11)",
9,"(2, 18)","(1, 18)","(3, 18)",,
10,"(2, 24)",,"(3, 24)",,"(2, 25)"
11,"(2, 25)",,,"(2, 24)","(2, 26)"
12,"(2, 26)",,,"(2, 25)","(2, 27)"
13,"(2, 27)",,,"(2, 26)","(2, 28)"
14,"(2, 28)",,,"(2, 27)","(2, 29)"
15,"(2, 29)",,,"(2, 28)","(2, 30)"
16,"(2, 30)",,,"(2, 29)","(2, 31)"
17,"(2, 31)",,,"(2, 30)","(2, 32)"
18,"(2, 32)",,,"(2, 31)","(2, 33)"
19,"(2, 33)",,"(3, 33)","(2, 32)",
20,"(3, 5)","(2, 5)","(4, 5)",,
21,"(3, 9)","(2, 9)","(4, 9)",,
22,"(3, 12)","(2, 12)","(4, 12)",,
23,"(3, 18)","(2, 18)","(4, 18)",,
24,"(3, 24)","(2, 24)","(4, 24)",,
25,"(3, 33)","(2, 33)","(4, 33)",,
26,"(4, 5)","(3, 5)","(5, 5)",,
27,"(4, 9)","(3, 9)","(5, 9)",,
28,"(4, 12)","(3, 12)","(5, 12)",,
29,"(4, 18)","(3, 18)","(5, 18)",,
30,"(4, 24)","(3, 24)","(5, 24)",,
31,"(4, 33)","(3, 33)","(5, 33)",,
32,"(5, 5)","(4, 5)","(6, 5)",,
33,"(5, 9)","(4, 9)","(6, 9)",,
34,"(5, 12)","(4, 12)","(6, 12)",,
35,"(5, 18)","(4, 18)","(6, 18)",,
36,"(5, 24)","(4, 24)","(6, 24)",,
37,"(5, 33)","(4, 33)","(6, 33)",,
38,"(6, 5)","(5, 5)","(7, 5)",,
39,"(6, 9)","(5, 9)","(7, 9)",,
40,"(6, 12)","(5, 12)","(7, 12)",,
41,"(6, 18)","(5, 18)","(7, 18)",,
42,"(6, 24)","(5, 24)","(7, 24)",,
43,"(6, 33)","(5, 33)","(7, 33)",,
44,"(7, 5)","(6, 5)","(8, 5)",,"(7, 6)"
45,"(7, 6)",,,"(7, 5)","(7, 7)"
