source,target,value,label,color,feature
"0,0,1,1(1)","2,2,1,1(0)",1,E,#4F74A2,"IS1,IS2,PG1,PG2"
"0,0,1,1(1)","0,0,0,0(0)",1,e,#FFD58F,"IS1,IS2,PG1,PG2"
"0,0,1,1(2)","0,0,0,0(0)",1,A,#4E5080,"IS1,IS2,PG1,PG2"
"0,0,1,1(1)","0,0,0,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"0,0,1,1(2)","0,0,0,1(0)",1,e,#FFD58F,"IS1,IS2,PG1,PG2"
"2,2,1,1(1)","0,0,1,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"2,2,1,1(1)","1,1,1,1(0)",1,A,#4E5080,"IS1,IS2,PG1,PG2"
"0,0,0,0(1)","0,0,1,1(0)",1,G,#69A89C,"IS1,IS2,PG1,PG2"
"0,0,0,0(2)","0,0,1,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"0,0,0,0(3)","0,0,1,1(0)",1,e,#FFD58F,"IS1,IS2,PG1,PG2"
"0,0,0,0(4)","0,0,1,1(0)",1,A,#4E5080,"IS1,IS2,PG1,PG2"
"0,0,0,0(1)","0,0,0,1(0)",1,G,#69A89C,"IS1,IS2,PG1,PG2"
"0,0,0,0(2)","0,0,0,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"0,0,0,0(3)","0,0,0,1(0)",1,e,#FFD58F,"IS1,IS2,PG1,PG2"
"1,1,1,1(1)","0,0,1,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"0,0,0,1(1)","0,0,1,1(0)",1,G,#69A89C,"IS1,IS2,PG1,PG2"
"0,0,0,1(2)","0,0,1,1(0)",1,L,#DD8162,"IS1,IS2,PG1,PG2"
"0,0,0,1(3)","0,0,1,1(0)",1,A,#4E5080,"IS1,IS2,PG1,PG2"
"0,0,0,1(1)","0,0,0,0(0)",1,G,#69A89C,"IS1,IS2,PG1,PG2"
"0,0,0,1(2)","0,0,0,0(0)",1,e,#FFD58F,"IS1,IS2,PG1,PG2"
"1,1","1,1",1,e,white,"PE,BN5"
