source,target,value,label,color,feature
01(1),08(0),1,$h_p$,#D8BFD8,"IS1,IS2,PG1,PG2,PE,BN5,state"
01(1),18(0),1,$g_b$,#0000CD,"IS1,IS2,PG1,PG2,PE,BN5,state"
02(1),04(0),1,$p_b$,#0edb0e,"IS1,IS2,PG1,PG2,PE,BN5,state"
02(1),09(0),1,$e$,#FFD58F,"IS1,IS2,PG1,PG2,PE,BN5,state"
04(1),08(0),1,$h_p$,#D8BFD8,"IS1,IS2,PG1,PG2,PE,BN5,state"
05(1),04(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
05(1),06(0),1,$e$,#FFD58F,"IS1,IS2,PG1,PG2,PE,BN5,state"
06(1),05(0),1,$e$,#FFD58F,"IS1,IS2,PG1,PG2,PE,BN5,state"
07(1),08(0),1,$h_p$,#D8BFD8,"IS1,IS2,PG1,PG2,PE,BN5,state"
08(1),04(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
08(1),17(0),1,$h_p$,#D8BFD8,"IS1,IS2,PG1,PG2,PE,BN5,state"
09(1),08(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
10(1),08(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
14(1),08(0),1,$p_b$,#0edb0e,"IS1,IS2,PG1,PG2,PE,BN5,state"
15(1),08(0),1,$p_b$,#0edb0e,"IS1,IS2,PG1,PG2,PE,BN5,state"
17(1),08(0),1,$sv$,#7FB069,"IS1,IS2,PG1,PG2,PE,BN5,state"
17(1),14(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
17(1),19(0),1,$g_u$,#ADD8E6,"IS1,IS2,PG1,PG2,PE,BN5,state"
18(1),08(0),1,$p_b$,#0edb0e,"IS1,IS2,PG1,PG2,PE,BN5,state"
19(1),08(0),1,$p_b$,#0edb0e,"IS1,IS2,PG1,PG2,PE,BN5,state"
19(1),17(0),1,$p_u$,#C0FFC0,"IS1,IS2,PG1,PG2,PE,BN5,state"
